index_oper,geo_lat,geo_lon,region
184245,67.560062,33.640281,51
184250,67.615573,33.669917,51
184255,67.617374,33.68632,51
184256,67.657015,33.713314,51
184310,69.406446,32.444238,51
184321,68.480663,33.31687,51
184335,69.045191,33.037844,51
184355,68.815277,32.826192,51
184358,68.829432,32.75934,51
184362,68.818172,32.690142,51
184363,69.032538,32.940745,51
184366,68.840476,33.089956,51
184367,68.804799,33.098516,51
184368,68.743387,33.154266,51
184371,69.29154,32.800222,51
184372,69.321192,32.805702,51
184374,68.608249,31.792465,51
184375,68.883181,35.69516,51
184381,68.880327,33.027352,51
184405,69.401506,31.014973,51
184411,69.508586,31.31457,51
184413,69.41876,31.111263,51
184421,69.402404,30.206777,51
184430,69.426975,30.803474,51
184433,69.429171,30.826462,51
184505,67.945502,32.952666,51
184506,67.922069,32.927917,51
184510,67.932337,32.949845,51
184511,67.938579,32.923327,51
184530,68.141381,33.279195,51
184532,68.227646,33.859174,51
184538,68.137078,33.405013,51
184580,67.939221,34.549709,51
184592,68.007714,35.017012,51
184601,69.054996,33.415271,51
184602,69.070122,33.423231,51
184603,68.887734,33.737578,51
184604,69.075443,33.419592,51
184606,69.069971,33.410295,51
184620,69.058235,33.294026,51
184621,69.035642,33.293774,51
184630,69.18982,35.117669,51
184635,69.051357,33.228763,51
184637,69.026096,33.642994,51
184640,68.066004,39.45655,51
184650,69.19609,33.460538,51
184651,69.204119,33.431432,51
184653,69.204119,33.431432,51
184670,69.246628,33.321559,51
184676,69.213642,33.370904,51
184682,69.1906,33.228476,51
184703,66.674296,34.336817,51
185001,61.799246,34.320594,10
185002,61.78335,34.326442,10
185003,61.777675,34.375544,10
185005,61.782167,34.395154,10
185009,61.843285,34.226396,10
185011,61.765066,34.38688,10
185012,61.726344,34.434626,10
185014,61.769284,34.308466,10
185015,61.910899,34.164745,10
185016,61.7625,34.320926,10
185026,61.758869,34.367899,10
185030,61.773365,34.360119,10
185031,61.800823,34.340437,10
185032,61.847976,34.349376,10
185033,61.763227,34.429344,10
185034,61.755037,34.448981,10
185035,61.789126,34.368609,10
185501,61.86526,34.383233,10
185504,61.902845349,34.239038504,10
185505,61.944044,34.246761,10
185506,61.813485,34.163936,10
185509,61.865867,34.242413,10
185510,61.621077,34.640439,10
185512,61.483806,35.035895,10
185516,61.284603,35.517644,10
185518,61.353294,34.628527,10
185525,61.563393,34.456042,10
185960,61.786651,34.342782,10
186000,60.979602083,32.974822347,10
186004,61.011954,32.665798,10
186007,61.193026,32.397076,10
186012,61.274092,33.213806,10
186021,60.989678,33.215657,10
186023,61.015438,33.735575,10
186120,61.692727,33.62448,10
186122,61.559314,33.616898,10
186130,61.884564115,34.069342029,10
186133,61.789126,34.368609,10
186137,61.845705,33.200906,10
186143,61.570791,32.83743,10
186150,61.808645,36.544256,10
186167,61.797142383,36.012915458,10
186178,61.94968,37.172511,10
186179,62.066992,37.452157,10
186181,62.015977,36.042206,10
186185,62.440018,35.865399,10
186202,62.131099,34.007998,10
186206,62.118577,34.270234,10
186210,62.233695,34.166865,10
186220,62.209121,34.254163,10
186223,62.207422,34.231876,10
186225,62.204385,34.270683,10
186302,62.914183,34.472633,10
186304,62.59582,34.938518,10
186306,62.508625,35.286229,10
186314,62.242683,35.07808,10
186323,62.915121,34.579883,10
186326,62.851403,34.823201,10
186333,63.28379,33.40786,10
186350,62.914183,34.472633,10
186359,62.914183,34.472633,10
186420,63.744298,34.309095,10
186421,63.743303,34.348217,10
186422,63.744246,34.297085,10
186424,63.737803,34.28688,10
186430,63.893285,34.258583,10
186435,63.924193,34.187194,10
186469,63.744298,34.309095,10
186500,64.530266,34.762089,10
186521,64.2307,35.40804,10
186523,64.400729,34.140329,10
186530,64.427924,34.474978,10
186532,64.495545,34.782876,10
186601,64.984685,34.75545,10
186610,64.954954547,34.599900618,10
186615,64.954945453,34.599892572,10
186629,64.95495,34.600024,10
186660,66.074421,33.046738,10
186667,65.764598,31.078897,10
186668,65.752708,31.301266,10
186670,66.269294,33.042776,10
186700,61.237631,29.688107,10
186720,61.414073,29.768525,10
186724,61.552827,30.319955,10
186730,61.520487,30.194919,10
186732,61.497286,30.000182,10
186734,61.29883,29.892564,10
186752,61.677670781,30.653106301,10
186756,61.389711,30.945515,10
186757,62.17739,30.696143,10
186758,62.05322,30.669759,10
186759,61.932228,30.583054,10
186760,61.744860572,30.664221411,10
186761,62.062191,30.593097,10
186770,61.902671,30.504407,10
186790,61.702171,30.688579,10
186791,61.700359,30.669095,10
186792,61.711553,30.689406,10
186799,61.703046,30.690439,10
186803,61.709911,30.983433,10
186805,61.755782,30.888957,10
186810,61.572286,31.473015,10
186821,61.369701,31.868148,10
186822,61.355278,31.967457,10
186835,61.912767,31.145795,10
186855,62.721537,32.706752,10
186857,62.71637,32.748416,10
186860,62.02650868,32.103112729,10
186865,62.962688,33.114911,10
186870,62.077719,32.358808,10
186877,61.919611,32.812574,10
186882,62.302693,32.679066,10
186883,62.431801,32.643556,10
186900,64.610476,32.233214,10
186910,65.197906,31.183407,10
186915,65.172597,31.465846,10
186930,64.594297,30.598667,10
186931,64.582456,30.606617,10
186932,64.594297,30.598667,10
186942,64.952117,30.551541,10
186951,63.743335,31.930473,10
186956,63.17043,32.342396,10
186966,63.829062,30.813014,10
186968,64.08327,32.78151,10
186970,64.250796,32.02856,10
186985,63.428357,31.168944,10
187000,59.541544,30.877531,47
187002,59.557825,30.847841,47
